Date Time,temperature,humidity,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CO_7,CO_8
2022-02-12 17:05:14,27.52,36.15,-1,1,19,1,18,141,1,-18
2022-02-12 17:05:23,27.5,35.9,0,0,20,-2,16,-79,-3,-18
2022-02-12 17:05:32,27.5,36,0,1,19,-3,16,-164,-2,-17
2022-02-12 17:05:40,27.5,36,1,1,19,-2,17,205,1,-17
2022-02-12 17:05:48,27.56,36.19,-2,2,17,10,17,-56,0,-17
2022-02-12 17:05:56,27.52,36.19,0,-1,17,-3,16,62,-1,-17
2022-02-12 17:06:04,27.46,36.05,0,-1,18,-3,16,144,2,-17
2022-02-12 17:06:12,27.52,36.04,1,2,18,9,15,-24,-1,-17
2022-02-12 17:06:22,27.54,36.02,2,2,20,-7,16,163,-1,-18
2022-02-12 17:06:32,27.71,38.01,0,-1,21,10,18,81,2,-18
2022-02-12 17:06:40,27.87,37.47,2,1,21,4,17,-67,3,-21
2022-02-12 17:06:48,27.89,36.15,-1,-1,23,-3,20,63,4,-21
2022-02-12 17:06:57,27.79,35.94,0,0,23,3,17,-253,4,-21
2022-02-12 17:07:08,27.94,35.75,1,1,22,7,18,3,-1,-20
2022-02-12 17:07:17,27.95,35.64,-1,2,20,6,16,-67,4,-20
2022-02-12 17:07:28,27.98,35.59,0,2,20,5,17,-65,2,-20
2022-02-12 17:07:36,28.03,35.5,2,2,22,0,18,72,-1,-20
2022-02-12 17:07:50,28.03,35.38,1,0,20,8,17,-87,1,-20
2022-02-12 17:07:58,28.03,35.38,0,1,22,0,18,-123,3,-21
2022-02-12 17:08:07,28.07,35.38,0,-2,21,-4,20,303,-3,-21
2022-02-12 17:08:15,28.06,35.29,2,0,21,9,18,-3,3,-22
2022-02-12 17:08:25,28.08,35.33,1,1,21,-1,19,20,0,-23
2022-02-12 17:08:34,27.98,35.32,0,1,20,-2,19,-60,3,-21
2022-02-12 17:08:42,28.11,35.33,0,2,20,9,20,321,-2,-21
2022-02-12 17:08:50,28.12,35.34,-1,1,20,-6,18,-299,3,-20
2022-02-12 17:09:02,28.1,35.37,-1,0,19,-6,18,-454,4,-20
2022-02-12 17:09:11,28.09,35.35,1,2,18,3,16,-246,4,-19
2022-02-12 17:09:19,28.1,35.35,-1,-1,18,4,19,533,-6,-20
2022-02-12 17:09:28,28.08,35.42,-1,-1,19,0,19,254,-4,-22
2022-02-12 17:09:36,28.09,35.44,-1,-1,19,-5,19,343,-4,-21
2022-02-12 17:09:44,28.09,35.42,-2,-1,19,-6,19,302,-3,-20
2022-02-12 17:09:53,28,35.59,-1,0,18,-7,19,299,-4,-21
2022-02-12 17:10:01,28.09,35.56,0,-1,19,-4,17,-38,0,-20
2022-02-12 17:10:09,28.06,35.57,-2,-1,19,-14,19,223,-2,-19
2022-02-12 17:10:18,28.06,35.55,1,0,19,1,18,78,-2,-20
2022-02-12 17:10:29,27.74,35.57,1,1,20,3,18,23,0,-20
2022-02-12 17:10:39,28.04,35.7,-1,-1,20,-16,19,214,-4,-21
2022-02-12 17:10:47,28.02,35.79,-2,-1,21,-5,20,56,1,-22
2022-02-12 17:10:58,28.02,35.84,-1,-2,20,-9,20,22,1,-22
2022-02-12 17:11:07,27.88,35.81,-1,-1,21,-7,20,19,1,-21
2022-02-12 17:11:15,28,35.79,1,1,20,2,18,-64,2,-22
2022-02-12 17:11:23,27.86,35.86,2,-1,20,-1,18,78,-2,-21
2022-02-12 17:11:32,27.96,35.83,-1,1,21,-1,19,-79,3,-20
2022-02-12 17:11:40,27.95,35.83,-1,0,20,4,18,333,-3,-20
2022-02-12 17:11:49,27.94,35.8,0,-1,19,12,17,-55,0,-20
2022-02-12 17:12:00,27.93,35.76,0,0,20,11,17,342,-3,-19
2022-02-12 17:12:10,27.9,35.71,0,1,19,8,16,-209,3,-18
2022-02-12 17:12:20,27.79,35.72,0,0,17,4,17,-82,2,-18
2022-02-12 17:13:01,27.91,35.79,2,-1,19,5,17,701,-3,-19
2022-02-12 17:13:12,27.59,35.78,2,2,20,0,17,-179,3,-19
2022-02-12 17:13:28,27.9,35.78,0,2,19,-7,16,-134,3,-18
2022-02-12 17:13:38,27.87,35.77,2,0,20,-5,17,665,-5,-19
2022-02-12 17:13:47,27.87,35.82,1,1,19,-3,17,79,-3,-18
2022-02-12 17:13:56,27.88,35.85,-1,0,18,-3,16,301,-3,-18
2022-02-12 17:14:08,27.88,35.85,-1,-2,18,3,16,237,-2,-18
2022-02-12 17:14:17,27.87,35.83,-1,0,19,-8,17,223,-2,-18
2022-02-12 17:14:25,27.8,35.82,2,1,18,5,17,326,-3,-17
2022-02-12 17:14:33,27.87,35.84,-1,-1,18,3,17,377,-3,-18
2022-02-12 17:14:44,27.85,35.83,1,1,19,4,16,1023,-4,-17
2022-02-12 17:14:52,27.87,35.85,0,-1,19,4,16,412,-5,-17
2022-02-12 17:15:01,27.87,35.91,1,2,18,4,14,-105,4,-17
2022-02-12 17:15:09,27.87,35.85,0,1,18,2,15,-199,5,5
2022-02-12 17:15:17,27.82,35.86,0,1,18,2,14,-135,2,-17
2022-02-12 17:15:29,27.86,35.89,-2,0,18,-8,17,271,0,-18
